uk_intro_fo6,,voiceovers/uk_briefings/uk_intro_fo6.mp3,1,1,,,,,local,streamed,,,,gmi_uk_intro,GMI_SUBTITLES_UK_INTRO_FO6
uk_intro_fo7,,voiceovers/uk_briefings/uk_intro_fo7.mp3,1,1,,,,,local,streamed,,,,gmi_uk_intro,GMI_SUBTITLES_UK_INTRO_FO7

#Russian Intro Briefing,,,,,,,,,,,,,,,
ru_intro_comm1,,voiceovers/ru_briefings/ru_intro_comm1.mp3,1,1,,,,,local,streamed,,,,gmi_ru_intro,GMI_SUBTITLES_RU_INTRO_COMM1
ru_intro_comm2,,voiceovers/ru_briefings/ru_intro_comm2.mp3,1,1,,,,,local,streamed,,,,gmi_ru_intro,GMI_SUBTITLES_RU_INTRO_COMM2
ru_intro_comm3,,voiceovers/ru_briefings/ru_intro_comm3.mp3,1,1,,,,,local,streamed,,,,gmi_ru_intro,GMI_SUBTITLES_RU_INTRO_COMM3
ru_intro_comm4,,voiceovers/ru_briefings/ru_intro_comm4.mp3,1,1,,,,,local,streamed,,,,gmi_ru_intro,GMI_SUBTITLES_RU_INTRO_COMM4
ru_intro_comm5,,voiceovers/ru_briefings/ru_intro_comm5.mp3,1,1,,,,,local,streamed,,,,gmi_ru_intro,GMI_SUBTITLES_RU_INTRO_COMM5
ru_intro_comm6,,voiceovers/ru_briefings/ru_intro_comm6.mp3,1,1,,,,,local,streamed,,,,gmi_ru_intro,GMI_SUBTITLES_RU_INTRO_COMM6
ru_intro_comm7,,voiceovers/ru_briefings/ru_intro_comm7.mp3,1,1,,,,,local,streamed,,,,gmi_ru_intro,GMI_SUBTITLES_RU_INTRO_COMM7
